parentEventID,eventID,eventDate,decimalLatitude,decimalLongitude,eventType,habitat,samplingProtocol,verbatimLatitude,verbatimLongitude,eventRemarks,coordinateUncertaintyinmeters
,2013/11,5/10/2013,28.01216667,-82.85333333,Longline,Sand,methods described: https://doi.org/10.1002/ece3.8287,28 ̊00.730',082 ̊51.200',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/10,5/10/2013,28.00748333,-82.8957,Rod/Reel,Sand,methods described: https://doi.org/10.1002/ece3.8288,28 ̊0.449',082 ̊53.742',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/14,5/13/2013,28.17996667,-82.83275,Longline,Sand,methods described: https://doi.org/10.1002/ece3.8289,28 ̊10.798',082 ̊49.965',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/13,5/13/2013,28.10921667,-82.78216667,Tangle net,Seagrass,methods described: https://doi.org/10.1002/ece3.8290,28 ̊6.553',082 ̊46.930',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/15,5/14/2013,28.10855,-82.8222,Longline,Seagrass,methods described: https://doi.org/10.1002/ece3.8291,28 ̊06.513',082 ̊49.332',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/16,5/14/2013,28.14738333,-82.88833333,Longline,Seagrass,methods described: https://doi.org/10.1002/ece3.8292,28 ̊08.843',082 ̊53.300,"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/17,5/14/2013,28.1425,-82.811,Rod/Reel,Sand,methods described: https://doi.org/10.1002/ece3.8293,28 ̊11.336,082 ̊,"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/18,5/16/2013,28.0945,-82.84985,Longline,Sand,methods described: https://doi.org/10.1002/ece3.8294,28 ̊05.67,082 ̊50.991,"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/19,5/16/2013,28.0784,-82.86453333,Longline,Seagrass,methods described: https://doi.org/10.1002/ece3.8295,28 ̊04.704,082 ̊51.872,"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/20,5/16/2013,28.10548333,-82.8341,Tangle net,Sand,methods described: https://doi.org/10.1002/ece3.8296,28 ̊06.329,082 ̊50.046',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/24,5/20/2013,28.05401667,-82.91173333,Longline,Seagrass,methods described: https://doi.org/10.1002/ece3.8297,28 ̊03.241',082 ̊54.704,"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/21,5/20/2013,28.0581,-82.90998333,Longline,Sand,methods described: https://doi.org/10.1002/ece3.8298,28 ̊03.486,082 ̊54.599,"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/22,5/20/2013,28.10551667,-82.8281,Tangle net,Seagrass,methods described: https://doi.org/10.1002/ece3.8299,28 ̊06.331',082 ̊49.686,"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/23,5/20/2013,28.05123333,-82.82045,Tangle net,Sand,methods described: https://doi.org/10.1002/ece3.8300,28 ̊03.074,082 ̊49.227,"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/26,5/21/2013,28.07418333,-82.87485,Longline,Sand,methods described: https://doi.org/10.1002/ece3.8301,28 ̊04.451,082 ̊52.491,"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/25,5/21/2013,28.10753333,-82.78316667,Tangle net,Seagrass,methods described: https://doi.org/10.1002/ece3.8302,28 ̊06.452,082 ̊46.990,"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/28,5/22/2013,28.13621667,-82.92553333,Longline,sand,methods described: https://doi.org/10.1002/ece3.8303,28 ̊08.173,082 ̊55.532,"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/29,5/22/2013,28.13776667,-82.92653333,Longline,Sand,methods described: https://doi.org/10.1002/ece3.8304,28 ̊08.266,082 ̊55.592,"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/30,5/22/2013,28.14135,-82.88098333,Longline,Sand,methods described: https://doi.org/10.1002/ece3.8305,28 ̊08.481',82 ̊52.859',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/27,5/22/2013,28.09371667,-82.8332,Tangle net,sand,methods described: https://doi.org/10.1002/ece3.8306,28 ̊05.623',82 ̊49.992',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/32,5/23/2013,28.05121667,-82.90878333,Longline,Sand,methods described: https://doi.org/10.1002/ece3.8307,28 ̊03.073',82 ̊54.527',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/31,5/23/2013,28.19021667,-82.84711667,Tangle net,Sand,methods described: https://doi.org/10.1002/ece3.8308,28 ̊11.413',82 ̊50.827',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/34,5/27/2013,28.07421667,-82.84855,Longline,Sand,methods described: https://doi.org/10.1002/ece3.8309,28 ̊04.453',82 ̊50.913',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/33,5/27/2013,28.1775,-82.84165,Tangle net,Seagrass,methods described: https://doi.org/10.1002/ece3.8310,28 ̊10.650',82 ̊50.499',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/35,5/28/2013,28.0179,-82.84043333,Longline,Sand,methods described: https://doi.org/10.1002/ece3.8311,28 ̊01.074',82 ̊50.426',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/37,5/29/2013,28.10148333,-82.86178333,Longline,Sand,methods described: https://doi.org/10.1002/ece3.8312,28 ̊06.089',82 ̊51.707',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/36,5/29/2013,28.16568333,-82.83571667,Tangle net,Sand,methods described: https://doi.org/10.1002/ece3.8313,28 ̊09.941',82 ̊50.143',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/38,5/30/2013,28.10746667,-82.78705,Tangle net,Sand,methods described: https://doi.org/10.1002/ece3.8314,28 ̊06.448',82 ̊47.223',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/39,5/30/2013,28.11308333,-82.84035,Tangle net,Sand,methods described: https://doi.org/10.1002/ece3.8315,28 ̊06.785',82 ̊50.421',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/40,5/31/2013,28.08035,-82.85223333,Longline,Sand,methods described: https://doi.org/10.1002/ece3.8316,28 ̊04.821',82 ̊51.134',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/43,5/31/2013,28.10148333,-82.85155,Longline,Sand,methods described: https://doi.org/10.1002/ece3.8317,28 ̊06.089',82 ̊51.093',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/41,5/31/2013,28.099,-82.83546667,Tangle net,Sand,methods described: https://doi.org/10.1002/ece3.8318,28 ̊05.940',82 ̊50.128',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/42,5/31/2013,28.09806667,-82.8363,Tangle net,Sand,methods described: https://doi.org/10.1002/ece3.8319,28 ̊05.884',82 ̊50.178',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/46,6/3/2013,28.10896667,-82.77953333,Cast net,Seagrass,methods described: https://doi.org/10.1002/ece3.8320,28 ̊06.538',82 ̊46.772',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/47,6/3/2013,28.0155,-82.8985,Longline,Sand,methods described: https://doi.org/10.1002/ece3.8321,28 ̊00.930',82 ̊53.910',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/45,6/3/2013,28.10961667,-82.78333333,Tangle net,Seagrass,methods described: https://doi.org/10.1002/ece3.8322,28 ̊06.577',82 ̊47.000',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/44,6/3/2013,28.1061,-82.82765,Tangle net,Sand,methods described: https://doi.org/10.1002/ece3.8323,28 ̊06.366',82 ̊49.659',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/50,6/5/2013,28.08015,-82.85675,Longline,Sand,methods described: https://doi.org/10.1002/ece3.8324,28 ̊04.809',82 ̊51.405',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/48,6/5/2013,28.07963333,-82.8575,Longline,Sand,methods described: https://doi.org/10.1002/ece3.8325,28 ̊04.778',82 ̊51.450',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/51,6/5/2013,28.1425,-82.811,Longline,Sand,methods described: https://doi.org/10.1002/ece3.8326,28 ̊03.184',82 ̊',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/49,6/5/2013,28.10693333,-82.7843,Tangle net,Seagrass,methods described: https://doi.org/10.1002/ece3.8327,28 ̊06.416',82 ̊47.058',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/53,6/7/2013,28.08335,-82.85566667,Longline,Seagrass,methods described: https://doi.org/10.1002/ece3.8328,28 ̊05.001',82 ̊51.340',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/52,6/7/2013,28.10961667,-82.78318333,Tangle net,Seagrass,methods described: https://doi.org/10.1002/ece3.8329,28 ̊06.577',82 ̊46.991',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/55,6/10/2013,28.08066667,-82.85581667,Longline,Seagrass,methods described: https://doi.org/10.1002/ece3.8330,28 ̊04.840',82 ̊51.349',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/56,6/10/2013,28.09621667,-82.83725,Longline,Sand,methods described: https://doi.org/10.1002/ece3.8331,28 ̊05.773',82 ̊50.235',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/54,6/10/2013,28.10716667,-82.82795,Longline,Sand,methods described: https://doi.org/10.1002/ece3.8332,28 ̊06.430',82 ̊49.677',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/58,6/11/2013,28.079,-82.85405,Longline,Sand,methods described: https://doi.org/10.1002/ece3.8333,28 ̊04.740',82 ̊51.243',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/59,6/11/2013,28.09433333,-82.83215,Longline,Seagrass,methods described: https://doi.org/10.1002/ece3.8334,28 ̊05.660',82 ̊49.929',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/62,6/11/2013,28.08033333,-82.85678333,Rod/Reel,Sand,methods described: https://doi.org/10.1002/ece3.8335,28 ̊04.820',82 ̊51.407',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/61,6/11/2013,28.09466667,-82.8366,Tangle net,Sand,methods described: https://doi.org/10.1002/ece3.8336,28 ̊05.680',82 ̊50.196',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/57,6/11/2013,28.09356667,-82.83343333,Tangle net,Seagrass,methods described: https://doi.org/10.1002/ece3.8337,28 ̊05.614',82 ̊50.006',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/60,6/11/2013,28.09356667,-82.83348333,Tangle net,Seagrass,methods described: https://doi.org/10.1002/ece3.8338,28 ̊05.614',82 ̊50.009',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/66,6/12/2013,28.09383333,-82.83268167,Longline,Sand,methods described: https://doi.org/10.1002/ece3.8339,28 ̊05.630',82 ̊49.9609',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/65,6/12/2013,28.1339,-82.92868333,Longline,Sand,methods described: https://doi.org/10.1002/ece3.8340,28 ̊08.034',82 ̊55.721',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/63,6/12/2013,28.07383333,-82.85591667,Longline,Sand,methods described: https://doi.org/10.1002/ece3.8341,28 ̊04.430',82 ̊51.355',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/64,6/12/2013,28.10863333,-82.78315,Tangle net,Seagrass,methods described: https://doi.org/10.1002/ece3.8342,28 ̊06.518',82 ̊46.989',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/72,6/13/2013,28.18238333,-82.83113333,Longline,Sand,methods described: https://doi.org/10.1002/ece3.8343,28 ̊10.943',82 ̊49.868',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/73,6/13/2013,28.18345,-82.82945,Longline,Sand,methods described: https://doi.org/10.1002/ece3.8344,28 ̊11.007',82 ̊49.767',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/74,6/13/2013,28.18285,-82.8359,Longline,Seagrass,methods described: https://doi.org/10.1002/ece3.8345,28 ̊10.971',82 ̊50.154',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/70,6/13/2013,28.18468333,-82.83828333,Longline,Seagrass,methods described: https://doi.org/10.1002/ece3.8346,28 ̊11.081',82 ̊50.297',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/75,6/13/2013,28.10666667,-82.82783333,Longline,Sand,methods described: https://doi.org/10.1002/ece3.8347,28 ̊06.400',82 ̊49.670',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/67,6/13/2013,28.1829,-82.83111667,Rod/Reel,Sand,methods described: https://doi.org/10.1002/ece3.8348,28 ̊10.974',82 ̊49.867',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/71,6/13/2013,28.1829,-82.83111667,Rod/Reel,Sand,methods described: https://doi.org/10.1002/ece3.8349,28 ̊10.974',82 ̊49.867',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/69,6/13/2013,28.2182,-82.819,Rod/Reel,Seagrass,methods described: https://doi.org/10.1002/ece3.8350,28 ̊13.092',82 ̊49.140',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/68,6/13/2013,28.19261667,-82.84788333,Tangle net,Seagrass,methods described: https://doi.org/10.1002/ece3.8351,28 ̊11.557',82 ̊50.873',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/76,6/14/2013,28.05738333,-82.9104,Longline,Sand,methods described: https://doi.org/10.1002/ece3.8352,28 ̊03.443',82 ̊54.624',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/77,6/14/2013,28.09245,-82.83456667,Rod/Reel,Seagrass,methods described: https://doi.org/10.1002/ece3.8353,28 ̊05.547',82 ̊50.074',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/81,6/17/2013,28.05853333,-83.01121667,Longline,Artificial Reef,methods described: https://doi.org/10.1002/ece3.8354,28 ̊03.512',83 ̊00.673',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/79,6/17/2013,28.05095,-83.01361667,Longline,Artificial Reef,methods described: https://doi.org/10.1002/ece3.8355,28 ̊03.057',83 ̊00.817',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/78,6/17/2013,28.05095,-83.01361667,Longline,Artificial Reef,methods described: https://doi.org/10.1002/ece3.8356,28 ̊03.057',83 ̊00.817',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/82,6/17/2013,28.05095,-83.01361667,Longline,Artificial Reef,methods described: https://doi.org/10.1002/ece3.8357,28 ̊03.057',83 ̊00.817',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/80,6/17/2013,28.05095,-83.01361667,Longline,Artificial Reef,methods described: https://doi.org/10.1002/ece3.8358,28 ̊03.057',83 ̊00.817',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/85,6/18/2013,28.08036667,-82.85281667,Longline,Sand,methods described: https://doi.org/10.1002/ece3.8359,28 ̊04.822',82 ̊51.169',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/86,6/18/2013,28.09471667,-82.83266667,Longline,Sand,methods described: https://doi.org/10.1002/ece3.8360,28 ̊05.683',82 ̊49.960',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/83,6/18/2013,28.08096667,-82.85328333,Longline,Sand,methods described: https://doi.org/10.1002/ece3.8361,28 ̊04.858',82 ̊51.197',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/87,6/18/2013,28.0944,-82.8325,Longline,Sand,methods described: https://doi.org/10.1002/ece3.8362,28 ̊05.664',82 ̊49.950',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/84,6/18/2013,28.09375,-82.83341667,Tangle net,Seagrass,methods described: https://doi.org/10.1002/ece3.8363,28 ̊05.625',82 ̊50.005',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/91,6/19/2013,28.07755,-82.96301667,Longline,Sand,methods described: https://doi.org/10.1002/ece3.8364,28 ̊04.653',82 ̊57.781',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/90,6/19/2013,28.09336667,-82.838,Seine net,Sand,methods described: https://doi.org/10.1002/ece3.8365,28 ̊05.602',82 ̊50.280',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/88,6/19/2013,28.09336667,-82.838,Seine net,Sand,methods described: https://doi.org/10.1002/ece3.8366,28 ̊05.602',82 ̊50.280',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/92,6/19/2013,28.09336667,-82.838,Seine net,Sand,methods described: https://doi.org/10.1002/ece3.8367,28 ̊05.602',82 ̊50.280',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/89,6/19/2013,28.05431667,-82.81698333,Tangle net,Seagrass,methods described: https://doi.org/10.1002/ece3.8368,28 ̊03.259',82 ̊49.019',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/96,6/20/2013,28.07583333,-82.85245,Longline,Sand,methods described: https://doi.org/10.1002/ece3.8369,28 ̊04.550',82 ̊51.147',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/95,6/20/2013,28.09415,-82.83328333,Longline,Sand,methods described: https://doi.org/10.1002/ece3.8370,28 ̊05.649',82 ̊49.997',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/93,6/20/2013,28.1325,-82.93096667,Longline,Sand,methods described: https://doi.org/10.1002/ece3.8371,28 ̊07.950',82 ̊55.858',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/94,6/20/2013,28.1367,-82.86486667,Longline,Sand,methods described: https://doi.org/10.1002/ece3.8372,28 ̊08.202',82 ̊51.892',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/99,6/24/2013,28.05613333,-82.77833333,Cast net,Sand,methods described: https://doi.org/10.1002/ece3.8373,28 ̊03.368',82 ̊46.700',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/98,6/24/2013,28.05755,-82.90896667,Longline,Sand,methods described: https://doi.org/10.1002/ece3.8374,28 ̊03.453',82 ̊54.538',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
